tweet_id,retweet_count,favorite_count
892420643555336193,6971,33700
892177421306343426,5274,29229
891815181378084864,3464,21975
891689557279858688,7191,36794
891327558926688256,7719,35188
891087950875897856,2586,17752
890971913173991426,1647,10334
890729181411237888,15684,56674
890609185150312448,3603,24432
890240255349198849,6072,27855
890006608113172480,6113,26953
889880896479866881,4142,24485
889665388333682689,8304,41882
889638837579907072,3700,23582
889531135344209921,1874,13312
889278841981685760,4420,22030
888917238123831296,3744,25531
888804989199671297,3515,22394
888554962724278272,2862,17252
888078434458587136,2885,19102
887705289381826560,4519,26533
887517139158093824,9810,40591
887473957103951883,14954,59980
887343217045368832,8776,29496
887101392804085760,4970,26894
886983233522544640,6288,30246
886736880519319552,2617,10453
886680336477933568,3721,19656
886366144734445568,2613,18489
886267009285017600,4,105
886258384151887873,5255,24445
886054160059072513,93,0
885984800019947520,5590,28502
885528943205470208,5306,31488
885518971528720385,3099,17942
885311592912609280,15373,0
885167619883638784,3653,19188
884925521741709313,14946,67038
884876753390489601,4639,24303
884562892145688576,3895,21243
884441805382717440,4778,23783
884247878851493888,16825,63035
884162670584377345,2492,17889
883838122936631299,2849,19094
883482846933004288,8223,40053
883360690899218434,3061,19881
883117836046086144,5512,32387
882992080364220416,3229,20920
882762694511734784,4078,24700
882627270321602560,5044,24530
882268110199369728,9584,39052
882045870035918850,4067,25623
881906580714921986,2840,21377
881666595344535552,8913,44404
881633300179243008,8,113
881536004380872706,13352,43295
881268444196462592,4482,20436
880935762899988482,2325,14997
880872448815771648,3191,18657
880465832366813184,5194,24932
880221127280381952,3449,23583
880095782870896641,3635,24238
879862464715927552,2914,19629
879674319642796034,9,282
879492040517615616,2619,20650
879415818425184262,37273,92519
879376492567855104,2633,14807
879130579576475649,5713,0
879050749262655488,3936,19748
879008229531029506,2230,16724
878776093423087618,3418,17085
878604707211726852,5898,26360
878404777348136964,1071,0
878316110768087041,5500,0
878281511006478336,1071,6758
878057613040115712,5713,37027
877736472329191424,15738,69055
877611172832227328,70,0
877556246731214848,3152,19841
877316821321428993,4321,24070
877201837425926144,4602,23796
876838120628539392,2795,18167
876537666061221889,3960,20993
876484053909872640,1989,16512
876120275196170240,3890,24612
875747767867523072,3567,22035
875144289856114688,4132,19369
875097192612077568,5094,24172
875021211251597312,3952,22490
874680097055178752,3906,24522
874434818259525634,12160,0
874296783580663808,3471,22889
874057562936811520,3368,20056
874012996292530176,8553,30031
873580283840344065,3333,21314
873337748698140672,1327,0
873213775632977920,1327,6301
872967104147763200,4545,23981
872820683541237760,3157,13034
872620804844003328,3057,18275
872486979161796608,7685,36000
872122724285648897,6804,30110
871879754684805121,9212,32975
871762521631449091,2958,17818
871515927908634625,2926,17847
871166179821445120,4879,0
871102520638267392,4655,18492
871032628920680449,3213,20099
870804317367881728,5264,29706
870726314365509632,3,105
870656317836468226,2190,10857
870374049280663552,22659,73728
870308999962521604,3535,19426
870063196459192321,7051,32316
869772420881756160,8661,37900
869702957897576449,5364,24965
869596645499047938,2629,14150
869227993411051520,3190,18087
868880397819494401,12201,57762
868639477480148993,1743,0
868622495443632128,4445,23573
868552278524837888,1743,8934
867900495410671616,3554,21533
867774946302451713,6228,30171
867421006826221569,2109,14300
867072653475098625,100,0
867051520902168576,6754,28610
866720684873056260,4119,17810
866686824827068416,2954,17076
866450705531457537,30064,108529
866334964761202691,12160,46440
866094527597207552,7135,0
865718153858494464,4815,22858
865359393868664832,4271,23528
865006731092295680,6636,24967
864873206498414592,7476,28760
864279568663928832,2571,13029
864197398364647424,7555,26555
863907417377173506,3577,18381
863553081350529029,3612,13634
863471782782697472,2085,0
863432100342583297,4544,21227
863427515083354112,80,1956
863079547188785154,949,7878
863062471531167744,2085,7502
862831371563274240,4445,17183
862722525377298433,3075,15289
862457590147678208,4231,18221
862096992088072192,19911,66067
861383897657036800,9228,32192
861288531465048066,3575,15304
861005113778896900,3318,14944
860981674716409858,1850,0
860924035999428608,675,0
860563773140209665,1850,6702
860524505164394496,4583,21201
860276583193509888,3057,16531
860184849394610176,5103,14965
860177593139703809,26617,0
859924526012018688,3573,17579
859851578198683649,3059,13948
859607811541651456,1360,16793
859196978902773760,26176,80305
859074603037188101,11921,30342
858860390427611136,7051,0
858843525470990336,3018,14086
858471635011153920,4241,19421
858107933456039936,2532,14192
857989990357356544,2259,14454
857746408056729600,9314,30714
857393404942143489,1436,5294
857263160327368704,3960,18206
857214891891077121,16,203
857062103051644929,146,0
857029823797047296,3472,17006
856543823941562368,2533,14794
856526610513747968,1650,10793
856288084350160898,15,488
856282028240666624,5564,25168
855862651834028034,21,303
855860136149123072,849,4397
855857698524602368,1853,10834
855851453814013952,16078,41813
855818117272018944,4798,24224
855459453768019968,7285,27031
855245323840757760,5247,0
855138241867124737,36,0
854732716440526848,5327,20627
854482394044301312,5999,26504
854365224396361728,4133,17155
854120357044912130,6572,29154
854010172552949760,2784,14802
853760880890318849,5104,26017
853639147608842240,8839,31460
853299958564483072,3160,14130
852936405516943360,1782,0
852912242202992640,1592,8229
852672615818899456,1904,13616
852553447878664193,3100,14861
852311364735569921,8842,30282
852226086759018497,6071,18308
852189679701164033,1415,10555
851591660324737024,3119,14924
851464819735769094,6292,22223
851224888060895234,5157,18990
850753642995093505,8055,28074
850380195714523136,2325,12050
850333567704068097,301,3183
850145622816686080,3385,15015
850019790995546112,4355,18741
849776966551130114,6797,27860
849668094696017920,4433,0
849412302885593088,2822,14649
849336543269576704,1684,10535
849051919805034497,7603,38929
848690551926992896,3913,23213
848324959059550208,4142,22781
848213670039564288,644,7531
848212111729840128,2711,15007
847978865427394560,2913,0
847971574464610304,394,0
847962785489326080,4559,21695
847842811428974592,1186,5002
847617282490613760,376,6455
847606175596138505,3075,17319
847251039262605312,3907,18930
847157206088847362,5242,18334
847116187444137987,2869,19837
846874817362120707,3541,18584
846514051647705089,10349,41086
846505985330044928,2752,13041
846153765933735936,8148,29034
846139713627017216,9144,28745
846042936437604353,2581,14781
845812042753855489,7842,26965
845677943972139009,4371,23390
845397057150107648,1616,7076
845306882940190720,4844,21574
845098359547420673,6925,0
844979544864018432,2306,12653
844973813909606400,2840,13906
844580511645339650,2807,15269
844223788422217728,1986,12673
843981021012017153,2697,14081
843856843873095681,4162,19920
843604394117681152,2475,15664
843235543001513987,5386,19925
842846295480000512,3310,14189
842765311967449089,1175,6282
842535590457499648,3166,16878
842163532590374912,5247,22683
842115215311396866,2754,13006
841833993020538882,13529,0
841680585030541313,7141,23985
841439858740625411,3307,11702
841320156043304961,5011,18386
841314665196081154,4225,14716
841077006473256960,4879,21299
840761248237133825,1619,0
840728873075638272,14564,0
840698636975636481,2,163
840696689258311684,889,11458
840632337062862849,1619,8414
840370681858686976,4171,15312
840268004936019968,5204,17858
839990271299457024,2063,12510
839549326359670784,7051,25524
839290600511926273,132,0
839239871831150596,5920,25181
838952994649550848,3655,18331
838921590096166913,1852,10402
838916489579200512,31,0
838831947270979586,9999,0
838561493054533637,1229,10230
838476387338051585,4334,20931
838201503651401729,9157,0
